"Designator","Footprint","Quantity","Value","LCSC Part #"
"C201","EasyEDA_Lib_2:CAP-SMD_BD6.3-L6.6-W6.6-LS7.4-FD","1","100uF","C1517616"
"C202,C632","EasyEDA_Lib:C0805","2","1uF","C5370002"
"C203,C204,C302,C305,C307,C407,C408,C414,C416,C420","EasyEDA_Lib:C0805","10","10uF","C440198"
"C205,C206,C207,C208,C601,C602,C603,C604,C644,C646","EasyEDA_Lib_2:C2220","10","2.2uF","C153032"
"C209,C210,C211,C212,C213,C214,C215,C216,C223,C224,C227,C605,C606,C607,C608,C616,C617,C626,C627,C634,C635,C639,C640","EasyEDA_Lib:C0603","23","100nF","C15725"
"C217,C218,C219,C220,C221,C222,C225,C226,C301,C405,C406,C412,C413,C618,C619,C620,C621,C622,C623","EasyEDA_Lib:C0805","19","4.7uF","C98192"
"C303","EasyEDA_Lib:C0402","1","1uF","C7472946"
"C304,C306,C409,C410,C421,C501,C502","EasyEDA_Lib:C0402","7","100nF","C60474"
"C401,C402,C403,C404","EasyEDA_Lib:C0402","4","22pF","C106203"
"C411,C415","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","2","100nF",""
"C417","EasyEDA_Lib_2:C0805","1","100pF","C599828"
"C418,C419,C422,C423","EasyEDA_Lib:C0402","4","220pF","C71693"
"C609","EasyEDA_Lib_2:CAP-SMD_BD10.0-L10.3-W10.3-FD-LS11.0","1","47uF","C49424130"
"C610","EasyEDA_Lib:C0805","1","470pF","C107138"
"C611,C612,C614,C624,C645","EasyEDA_Lib:C1206","5","4.7uF","C237304"
"C613","EasyEDA_Lib_2:C0805","1","33nF","C327114"
"C615","EasyEDA_Lib:C0603","1","220nF","C64705"
"C625","EasyEDA_Lib:C0603","1","47pF","C1671"
"C628","EasyEDA_Lib:C0603","1","4.7nF","C327158"
"C629,C630,C631,C633,C638,C641","EasyEDA_Lib:C1206","6","47uF","C403725"
"C636,C637,C642,C643","EasyEDA_Lib:CAP-SMD_L3.5-W2.8-R-RD","4","10uF","C7194"
"CN201","EasyEDA_Lib:CONN-SMD_A1257WV-S-2P","1","","C225118"
"D201,D202","EasyEDA_Lib_2:SOD-323_L1.8-W1.3-LS2.5-RD","2","","C2128"
"D203,D217","EasyEDA_Lib:SMB_L4.3-W3.6-LS5.4-BI","2","SMBJ78CA","C2903953"
"D204,D205,D208,D209,D210,D211,D214,D219","EasyEDA_Lib:SMB_L4.6-W3.6-LS5.4-BI","8","","C19077568"
"D206,D207","EasyEDA_Lib_2:SMA_L4.3-W2.6-LS5.2-RD","2","","C47779"
"D212,D213,D606,D607","EasyEDA_Lib:SMB_L4.6-W3.6-LS5.3-BI","4","","C83323"
"D215,D218","Diode_SMD:D_SMA","2","SS34",""
"D216","lcsc_footprints:C719814_TO-277A_L5_9-W4_4-LS6_5-TR","1","FSV10150V","C719814"
"D301","EasyEDA_Lib:SMA_L4.3-W2.6-LS5.0-FD","1","","C7420316"
"D302","EasyEDA_Lib:SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL","1","","C7519"
"D401,D403","Samacsys:DIONC1608X55N","2","PESD0603-240",""
"D402","EasyEDA_Lib_2:SOT-323-3_L2.0-W1.3-P1.30-LS2.1-BR","1","","C152727"
"D404","EasyEDA_Lib:SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BL-2","1","","C14486"
"D601,D602","EasyEDA_Lib_2:SMB_L4.6-W3.6-LS5.3-RD","2","","C47124"
"D603","EasyEDA_Lib:SMB_L4.6-W3.6-LS5.3-RD","1","","C135108"
"D604","EasyEDA_Lib:SOD-123FL_L2.8-W1.8-LS3.8-RD","1","","C5354735"
"D605,D608","EasyEDA_Lib:SOD-123_L2.7-W1.6-LS3.7-RD-1","2","","C260853"
"D609","EasyEDA_Lib:SMB_L4.6-W3.6-LS5.3-RD","1","","C151789"
"D610","EasyEDA_Lib:SMB_L4.6-W3.6-LS5.3-RD","1","","C284082"
"F201,F603","EasyEDA_Lib:FUSE-SMD_L9.8-W5.1","2","0154005.DR","C206916"
"F202,F203,F601,F602","EasyEDA_Lib:FUSE-SMD_L9.8-W5.1","4","","C206908"
"H401,H402","EasyEDA_Lib:HDR-TH_2P-P2.54-V-M","2","","C492401"
"HC201,HC202","CBC_PCB:C90D_PAD","2","C90D_PAD",""
"J201,J202,J203,J204","CBC_PCB:AMT0650009DB0000G","4","AMT0650009DB0000G",""
"J501","CBC_PCB:B08B-JWPF-SK-R","1","B08B-JWPF-SK-R",""
"L201,L202","EasyEDA_Lib_2:IND-SMD_L5.0-W5.0-P3.60_SMNR5040","2","33uH","C9390"
"L401","EasyEDA_Lib:FILTER-SMD_4P-L4.5-W3.2_ACT45B-510-2P","1","","C48928226"
"L601","EasyEDA_Lib_2:IND-SMD_L6.6-W6.4","1","22uH","C5366013"
"L602,L603","EasyEDA_Lib_2:IND-SMD_L6.0-W6.0_SMNR6045","2","33uH","C135306"
"L604","EasyEDA_Lib:XFMR-SMD_12P-L22.1-W21.8-P3.00-LS29.2-BL","1","20.5uH","C5723154"
"LED201,LED202,LED203,LED301,LED601,LED602,LED603","EasyEDA_Lib:LED0603-RD","7","","C12624"
"Q201,Q205,Q206,Q207,Q208,Q209,Q210","EasyEDA_Lib:TOLL-8_L10.4-W9.9-P1.20-LS11.7-BL","7","","C22385354"
"Q202,Q203","lcsc_footprints:C2846922_SOT-323-3_L2_0-W1_3-P1_30-LS2_1-BR","2","LMUN5235T1G","C2846922"
"Q204","EasyEDA_Lib:TOLL-8_L10.4-W9.9-P1.20-LS11.7-BL","1","SP015N03BGHTO","C22385354"
"Q301","EasyEDA_Lib:SC-70-6_L2.2-W1.3-P0.65-LS2.1-BR","1","","C62892"
"Q601","CBC_PCB:DFN-8_L5.9-W5.2-P1.27-LS6.2-BL","1","","C501501"
"Q602","CBC_PCB:DFN-8_L5.9-W5.2-P1.27-LS6.2-BL","1","","C501500"
"R201,R207,R212,R217,R223,R226,R227,R235,R237,R242,R301,R401,R402","EasyEDA_Lib:R0402","13","10kΩ","C190095"
