Designator,Mid X,Mid Y,Rotation,Layer
C201,-44.375,-60.15,0.0,top
C202,-61.75,-83.6,270.0,top
C203,-49.475,-85.775,180.0,top
C204,-63.45,-63.775,0.0,top
C205,69.175,-61.325,90.0,top
C206,69.175,-32.225,90.0,top
C207,76.425,-61.325,90.0,top
C208,76.425,-32.225,90.0,top
C209,63.75,-30.35,270.0,top
C210,63.75,-59.45,270.0,top
C211,56.325,-25.9,0.0,top
C212,58.6,-54.75,0.0,top
C213,78.025,-14.325,180.0,top
C214,76.325,-79.25,90.0,top
C215,63.375,-38.05,0.0,top
C216,63.75,-66.775,0.0,top
C217,49.45,-40.525,90.0,top
C218,46.6,-70.75,90.0,top
C219,46.55,-40.525,90.0,top
C220,49.525,-70.75,90.0,top
C221,43.6,-40.525,90.0,top
C222,43.675,-70.75,90.0,top
C223,51.0715,-36.7,90.0,top
C224,51.15,-65.9,90.0,top
C225,33.025,-57.1,180.0,top
C226,33.025,-52.075,180.0,top
C227,32.725,-54.55,180.0,top
C301,-79.45,-52.4,90.0,top
C302,-76.775,-52.4,90.0,top
C303,-76.7,-55.55,180.0,top
C304,-79.875,-49.15,0.0,top
C305,-74.5,-5.125,0.0,top
C306,-71.3,-5.55,90.0,top
C307,-83.725,7.0,0.0,top
C401,-39.525,-35.40475,0.0,top
C402,-39.175,-21.575,0.0,top
C403,-39.525,-42.00475,0.0,top
C404,-39.175,-28.475,0.0,top
C405,-54.825,-46.32975,90.0,top
C406,-54.825,-33.15,90.0,top
C407,-52.275,-46.32975,90.0,top
C408,-52.275,-33.15,90.0,top
C409,-48.8,-45.32975,180.0,top
C410,-48.8,-32.15,180.0,top
C411,-19.325,89.55,270.0,top
C412,-24.5,-42.05,180.0,top
C413,-29.05,-42.05,0.0,top
C414,-24.5,-44.65,180.0,top
C415,-12.325,85.1,180.0,top
C416,-29.05,-44.65,0.0,top
C417,-31.775,-74.875,0.0,top
C418,-8.4,90.75,270.0,top
C419,-8.4,88.35,270.0,top
C420,-17.925,-63.5,180.0,top
C421,-18.5,-61.5,180.0,top
C422,-25.4,-69.325,0.0,top
C423,-23.1,-69.325,0.0,top
C501,-62.6,44.425,0.0,top
C502,-18.5,56.55,180.0,top
C601,-83.75,39.675,0.0,top
C602,-54.475,47.575,0.0,top
C603,-83.75,47.575,0.0,top
C604,-54.475,39.7,0.0,top
C605,-77.4,44.375,90.0,top
C606,-47.775,44.375,90.0,top
C607,-72.8,39.7,180.0,top
C608,-43.75,39.9,180.0,top
C609,-9.85,13.175,180.0,top
C610,-2.475,-8.925,90.0,top
C611,11.25,15.225,180.0,top
C612,11.25,11.325,180.0,top
C613,-4.9,-8.925,270.0,top
C614,11.25,7.6,180.0,top
C615,-3.675,-3.775,0.0,top
C616,-69.325,49.45,90.0,top
C617,-40.225,49.45,90.0,top
C618,-80.225,32.5,270.0,top
C619,-51.2,32.5,270.0,top
C620,-83.2,32.5,270.0,top
C621,-54.125,32.5,270.0,top
C622,-86.275,32.5,270.0,top
C623,-56.95,32.5,270.0,top
C624,2.725,5.175,180.0,top
C625,-0.95,1.35,270.0,top
C626,-60.775,32.525,90.0,top
C627,-34.55,37.625,180.0,top
C628,-4.55,-23.5,270.0,top
C629,18.475,-50.3,90.0,top
C630,22.25,-50.3,90.0,top
C631,14.825,-50.3,90.0,top
C632,-10.4,-32.1,270.0,top
C633,-1.875,-51.225,0.0,top
C634,-77.725,18.25,90.0,top
C635,-50.45,18.225,90.0,top
C636,-83.3,17.55,0.0,top
C637,-55.275,17.535034,0.0,top
C638,-1.875,-55.025,0.0,top
C639,-64.85,19.15,270.0,top
C640,-38.45,19.15,270.0,top
C641,8.225,-55.025,180.0,top
C642,-61.4,17.95,90.0,top
C643,-35.325,18.0,90.0,top
C644,-1.95,-61.175,0.0,top
C645,-10.425,-42.55,90.0,top
