Designator,Mid X,Mid Y,Rotation,Layer
C1,-5.0,27.5,270.0,top
C10,87.476,-65.0,90.0,top
C11,87.476,1.825,270.0,top
C12,87.476,-28.175,90.0,top
C13,96.476,-38.0,90.0,top
C14,96.476,-1.175,90.0,top
C15,87.476,38.5,270.0,top
C16,87.476,8.5,90.0,top
C17,96.476,-62.0,270.0,top
C18,96.476,-25.175,270.0,top
C2,56.5,-46.5,270.0,top
C20,96.5,35.5,90.0,top
C21,96.476,11.5,270.0,top
C22,50.0,-57.0,270.0,top
C23,47.4,-57.7,90.0,top
C24,68.0,-47.5,90.0,top
C25,65.0,-56.5,90.0,top
C26,65.0,-48.0,90.0,top
C27,93.0,-45.0,180.0,top
C28,93.025,-8.175,180.0,top
C29,88.5,-45.0,180.0,top
C3,-83.6,-34.9,0.0,top
C30,88.476,-8.175,180.0,top
C31,93.05,28.5,180.0,top
C32,88.476,28.5,180.0,top
C33,65.0,-11.2375,90.0,top
C34,68.0,-10.692501,90.0,top
C35,56.5,-19.6375,270.0,top
C36,56.5,-9.6625,270.0,top
C37,65.0,-19.6625,90.0,top
C38,50.0,-20.025,270.0,top
C39,47.4,-20.892501,90.0,top
C4,-86.8,-17.0,180.0,top
C40,64.976,25.5,90.0,top
C41,67.976,26.0,90.0,top
C42,56.476,17.0,270.0,top
C43,56.476,27.0,270.0,top
C44,65.0,17.0,90.0,top
C45,49.976,16.625,270.0,top
C46,47.376,15.807499,90.0,top
C5,-74.1,-29.8,0.0,top
C6,-87.7,-22.2,0.0,top
C7,-87.8,-28.1,0.0,top
C8,56.5,-56.5,270.0,top
C9,87.476,-35.0,270.0,top
CN13,-24.7,33.0,0.0,top
CN14,-3.3,33.0,0.0,top
CN15,3.3,33.0,0.0,top
CN16,24.7,33.0,0.0,top
D1,-68.9,-32.0,90.0,top
D10,94.476,-52.0,0.0,top
D11,94.476,-11.175,0.0,top
D12,81.976,-34.0,180.0,top
D13,81.976,-66.0,180.0,top
D14,81.976,2.825,180.0,top
D15,81.976,-29.175,180.0,top
D16,81.976,39.5,180.0,top
D17,81.976,7.5,180.0,top
D18,94.476,-15.175,0.0,top
D19,94.476,25.5,0.0,top
D2,-68.6,-38.4,90.0,top
D20,94.476,21.5,0.0,top
D21,61.6,-39.0,0.0,top
D22,61.549999,-2.2,0.0,top
D23,61.576,34.5,0.0,top
D24,40.450001,-9.2,0.0,top
D25,40.5,-46.0,0.0,top
D26,40.525999,27.5,0.0,top
D3,51.911565,70.14163,270.0,top
D4,78.074516,59.120815,270.0,top
D5,-53.7,88.95,0.0,top
D6,61.881771,48.584924,270.0,top
D7,41.587806,53.181118,270.0,top
D8,-50.05,90.25,90.0,top
D9,94.476,-48.0,0.0,top
F1,46.961818,50.635534,270.0,top
F2,41.6,-54.0,270.0,top
F3,41.5,-17.190001,270.0,top
F4,41.576,19.5,270.0,top
F7,66.548676,50.706245,270.0,top
F8,72.771215,43.210913,90.0,top
IC1,0.0,0.0,0.0,top
J1,-72.51,24.45,0.0,top
J10,-57.7,52.3,0.0,top
J12,39.077,115.648,0.0,top
J13,54.077,115.648,0.0,top
J14,67.95,125.40875,0.0,top
J15,47.294707,125.075,180.0,top
J16,-30.2,95.0,90.0,top
J17,55.65,126.55,180.0,top
J19,-30.2,113.4,90.0,top
J2,-95.9,-37.5,180.0,top
J21,-44.0,94.95,90.0,top
J23,29.077,-80.652,0.0,top
J24,-44.0,113.35,90.0,top
J25,12.86875,-66.14375,0.0,top
J26,-15.13125,-66.14375,0.0,top
J27,29.077,-64.152,0.0,top
J28,-15.13125,-49.64375,0.0,top
J29,38.89375,100.63125,0.0,top
J3,-26.25,0.0,270.0,top
J30,68.89375,100.63125,0.0,top
J31,53.89375,100.63125,0.0,top
J32,-30.923,-64.152,0.0,top
J34,12.86875,-82.64375,0.0,top
J35,-58.275,125.1,180.0,top
J36,-80.0,125.0,180.0,top
J37,39.077,85.648,0.0,top
J38,69.077,85.648,0.0,top
J39,54.077,85.648,0.0,top
J4,26.25,0.0,270.0,top
J40,-30.923,-47.652,0.0,top
J41,-63.5865,129.173885,180.0,top
J42,12.86875,-49.64375,0.0,top
J43,-75.923,100.648,0.0,top
J44,-15.13125,-82.64375,0.0,top
J45,29.077,-47.652,0.0,top
J46,-75.923,88.648,0.0,top
J47,14.0,52.5,0.0,top
J48,-75.923,76.648,0.0,top
J49,94.077,87.648,0.0,top
J5,-49.2,69.8,0.0,top
J50,-58.0,113.35,90.0,top
J51,-14.0,52.5,0.0,top
J52,94.077,57.648,0.0,top
J53,69.077,115.648,0.0,top
J55,-30.923,-80.652,0.0,top
J56,-75.923,64.648,0.0,top
J57,94.077,102.648,0.0,top
J6,-76.075,52.3,0.0,top
J7,-38.05,69.7,0.0,top
J8,94.077,72.648,0.0,top
J9,-27.1,69.7,0.0,top
JP1,3.4,27.3,90.0,top
JP2,6.0,27.35,90.0,top
JP5,15.5,27.25,90.0,top
K1,51.982276,63.999852,0.0,top
K10,-52.5,-69.1,0.0,top
K2,71.720606,63.646299,0.0,top
K4,-52.5,-34.048,0.0,top
K5,-52.5,-39.89,0.0,top
K6,-52.5,-45.732,0.0,top
K7,-52.5,-51.574,0.0,top
K8,-52.5,-57.416,0.0,top
K9,-52.5,-63.258,0.0,top
L1,50.0,-51.5,180.0,top
L2,49.95,-14.7,180.0,top
L3,49.976,22.0,180.0,top
LED4,57.851262,49.079899,0.0,top
LED5,78.9,68.1,180.0,top
LS1,-94.9,-53.5,90.0,top
Q1,53.042936,52.348275,180.0,top
Q2,72.700505,52.348275,180.0,top
Q4,81.976,-40.0,90.0,top
Q5,81.976,-3.175,90.0,top
Q6,81.976,-60.0,90.0,top
Q7,81.976,-23.175,90.0,top
Q8,81.976,33.5,90.0,top
Q9,81.976,13.5,90.0,top
R1,46.032528,65.272644,0.0,top
R10,-0.9,27.5,90.0,top
R11,-2.9,27.5,90.0,top
R12,-61.95,94.55,270.0,top
R13,-58.65,82.85,90.0,top
R14,-22.925,87.8,90.0,top
R16,-82.1,-42.4,180.0,top
R17,-77.0,-39.4,180.0,top
R18,-72.8,-39.4,0.0,top
R19,-70.2,-13.7,180.0,top
R2,1.1,27.5,270.0,top
R20,-69.6,-26.0,270.0,top
R21,-82.0,-39.3,270.0,top
R22,-58.6,-32.8,0.0,top
R23,62.0,-46.5,90.0,top
R24,59.5,-60.5,270.0,top
R25,62.0,-60.5,90.0,top
R26,-58.6,-38.6,0.0,top
R27,65.488015,64.919091,0.0,top
R28,-46.5,-38.6,0.0,top
R29,57.851262,46.817157,0.0,top
R3,58.134105,70.293103,90.0,top
R30,75.091674,68.1,0.0,top
R31,-46.5,-44.4,0.0,top
R32,-46.4,-50.3,0.0,top
R33,62.0,-9.7,90.0,top
R34,59.5,-23.7,270.0,top
R35,62.0,-23.7,90.0,top
R36,61.976,27.0,90.0,top
R37,59.476,13.0,270.0,top
R38,61.976,13.0,90.0,top
R39,-46.4,-56.1,0.0,top
R4,11.2,27.3,270.0,top
R40,-46.4,-62.0,0.0,top
R41,-46.4,-67.8,0.0,top
R42,-58.6,-44.4,0.0,top
R43,-58.5,-50.3,0.0,top
R44,-58.5,-56.2,0.0,top
R45,-58.5,-61.9,0.0,top
R46,-58.4,-67.8,0.0,top
R47,-58.4,-70.4,180.0,top
R5,8.3,27.3,270.0,top
R50,99.476,-48.0,0.0,top
R51,99.476,-52.0,0.0,top
R52,99.476,-11.175,0.0,top
R53,99.476,-15.175,0.0,top
R54,99.476,25.5,0.0,top
R55,99.476,21.5,0.0,top
R6,83.943502,59.342998,90.0,top
R67,72.476,-45.0,270.0,top
R68,72.476,-55.0,90.0,top
R69,72.476,-8.175,270.0,top
R7,55.447099,70.283052,90.0,top
R70,72.476,-18.175,90.0,top
R71,72.476,28.5,270.0,top
R72,72.476,18.5,90.0,top
R74,66.6,-39.0,0.0,top
R75,66.6,-2.2,0.0,top
R76,66.576,34.5,0.0,top
R77,45.0,-46.0,0.0,top
R78,45.0,-9.2,0.0,top
R79,44.976,27.5,0.0,top
R8,13.2,27.3,270.0,top
R9,81.539339,59.332947,90.0,top
S1,-73.3,-45.5,0.0,top
S2,-26.725,79.8,270.0,top
U1,-74.1,-34.2,0.0,top
U13,-98.684499,86.225,270.0,top
U14,-98.684499,95.9,270.0,top
U15,-98.684499,76.575,270.0,top
U16,-98.684499,105.6,270.0,top
U17,59.3,-14.705,0.0,top
U18,59.276,22.0,0.0,top
U19,26.0,18.75,0.0,top
U2,-77.4,-21.99,0.0,top
U20,26.0,-18.75,0.0,top
U21,-26.0,-18.75,0.0,top
U29,87.0,-50.0,180.0,top
U3,-15.25,70.25,0.0,top
U30,87.0,-13.1875,180.0,top
U31,87.0,23.5,180.0,top
U4,59.3,-51.5,0.0,top
U5,-26.0,18.75,0.0,top
U6,15.25,70.25,0.0,top
U7,15.25,100.75,0.0,top
U8,-15.25,100.75,0.0,top
USB33,-61.15,88.75,0.0,top
X1,-85.9,-25.1,90.0,top
